env_id,year,compartment_name,substance_id,flow_direction,release_pathway,unit,value,comment,main_id,facility_group_id,company_id,source_id
1754055,2023,Air,NA - GHG,,,tCO2eq,5610.0000240055615,,ON-MAIN-6e9b2449,GRP-dc07540b,CMP-9617aef4,https://github.com/climatetracecoalition/methodology-documents/tree/main/2024/Mineral%20Extraction
1754056,2023,Air,NA - GHG,,,tCO2eq,6403.000027398861,,ON-MAIN-f080c409,GRP-dc07540b,CMP-9617aef4,https://github.com/climatetracecoalition/methodology-documents/tree/main/2024/Mineral%20Extraction
1754057,2023,Air,NA - GHG,,,tCO2eq,229916.00098382577,,BC-MAIN-599152a0,,CMP-12afc634,https://github.com/climatetracecoalition/methodology-documents/tree/main/2024/Mineral%20Extraction
1754058,2023,Air,NA - GHG,,,tCO2eq,2639.000011292456,,ON-MAIN-52224e1e,GRP-dc07540b,CMP-9617aef4,https://github.com/climatetracecoalition/methodology-documents/tree/main/2024/Mineral%20Extraction
1754060,2023,Air,NA - GHG,,,tCO2eq,4225.000018079055,,ON-MAIN-48fe2205,GRP-dc07540b,CMP-9617aef4,https://github.com/climatetracecoalition/methodology-documents/tree/main/2024/Mineral%20Extraction
1754061,2023,Air,NA - GHG,,,tCO2eq,131638.00056328773,,BC-MAIN-6b4800fe,,CMP-e35f138c,https://github.com/climatetracecoalition/methodology-documents/tree/main/2024/Mineral%20Extraction
1754066,2023,Air,NA - GHG,,,tCO2eq,2412130.010321664,,BC-MAIN-bf503b6b,,CMP-06e20c6e,https://github.com/climatetracecoalition/methodology-documents/tree/main/2024/Mineral%20Extraction
1754067,2023,Air,NA - GHG,,,tCO2eq,0.0,,QC-MAIN-30c1828c,GRP-b48ec279,CMP-d5f1c66b,https://github.com/climatetracecoalition/methodology-documents/tree/main/2024/Mineral%20Extraction
1754071,2023,Air,NA - GHG,,,tCO2eq,0.0,,BC-MAIN-e34feb4d,,CMP-fa032e20,https://github.com/climatetracecoalition/methodology-documents/tree/main/2024/Mineral%20Extraction
1754075,2023,Air,NA - GHG,,,tCO2eq,24084.00010305703,,MB-MAIN-be5b3dc8,GRP-a13779f8,CMP-12afc634,https://github.com/climatetracecoalition/methodology-documents/tree/main/2024/Mineral%20Extraction
1754077,2023,Air,NA - GHG,,,tCO2eq,67116.0002871938,,QC-MAIN-e51eda66,,CMP-6265c407,https://github.com/climatetracecoalition/methodology-documents/tree/main/2024/Mineral%20Extraction
1754081,2023,Air,NA - GHG,,,tCO2eq,7782.000033299693,,ON-MAIN-7001a391,,CMP-5f083f16,https://github.com/climatetracecoalition/methodology-documents/tree/main/2024/Mineral%20Extraction
